Nom de l'offre touristique;Type d'offre;Adresse1;Adresse1Suite;Adresse partie 2;Adresse partie 3;Code postal;Bureau distributeur de l'adresse postale;Commune du lieu de visite;Cedex;Code Insee de la Commune;Latitude;Longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Code Embed pour intégrer une vidéo;Type de plateforme/url;Widget tripadvisor;Secteur d'activité;Labels;Label tourisme handicap;Animal accepté: oui / non;Complément information animal accepté;Groupe accepté: oui / non;Nombre personnes max pour les groupes;Nombre personnes min pour les groupes;Langues parlées à l'accueil;Appellation pour les vins;Dégustations gratuites: oui / non;Salle équipée pour dégustation: oui / non;Vente à la propriété: oui / non;Durée de visite pour les individuels;Durée de visite pour les groupes;Visites guidées proposées aux groupes en permanence: oui / non;Visites guidées proposées aux groupes sur demande: oui / non;Visites libres proposées aux groupes en permanence: oui / non;Visites pédagogiques proposées aux groupes en permanence: oui / non;Visites guidées proposées aux individuels en permanence: oui / non;Visites guidées proposées aux individuels sur demande: oui / non;Langue(s) parlée(s) pendant les visites;Visites libres proposées aux individuels en permanence: oui / non;Les offres proposées;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Moyen(s) de réservation en ligne;Centrale de réservation en ligne?;Tarif gratuit : oui / non;Tarif;Modes de paiement acceptés;localisation;departement
DOMAINE DES GÉNAUDIÈRES;Vins;;;101;Les Génaudières;44850;;LE CELLIER;;44028;47.3330979;-1.3220132;"Gare SNCF||Gare du Cellier||3;Route (nationale/départ.)||RD723||3,5";;02 40 25 40 27;02 40 25 35 61;earl.athimon@wanadoo.fr;http://www.domaine-genaudieres.fr;;;Facebook||https://www.facebook.com/Domaine-viticole-des-G%C3%A9naudi%C3%A8res-1578365492441891/?fref=ts;;Viticulture;"Caves touristiques vignoble de Loire;Vignobles et découvertes";;oui;Si non méchant.;oui;70;;"Anglais;Français";"Coteaux d'Ancenis;Gros Plant du Pays Nantais;Muscadet Coteaux de la Loire";oui;non;oui;1h;1h30;oui;oui;non;;oui;oui;"Français;Anglais";oui;Partenariat||FMAPDL044V508WRM;oui;;||02 40 25 40 27||earl.athimon@wanadoo.fr;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.3330979,-1.3220132;Loire-Atlantique
DOMAINE LES GRANDES VIGNES;Vins;;;la Roche Aubry;Thouarcé;49380;;BELLEVIGNE-EN-LAYON;;49345;47.249694;-0.521785;"Gare SNCF||gare saint laud angers||32;Autoroute||A 87||10;Route (nationale/départ.)||D 24||0;Aéroport/aérodrome||nantes atlantique||103";;02 41 54 05 06;02 41 54 08 21;vaillant@domainelesgrandesvignes.com;http://www.domainelesgrandesvignes.com;;;Instagram||https://www.instagram.com/domainelesgrandesvignes/;;Viticulture;;;oui;chiens tenus en laisse;oui;85;10;"Anglais;Français";"Anjou Blanc;Anjou Villages;Bonnezeaux;Cabernet d'Anjou;Coteaux du Layon;Crémant de Loire;Rosé de Loire";oui;oui;oui;45mn;1h30m;oui;;non;oui;non;oui;"Français;Anglais";non;;oui;;laurence ou jean-françois VAILLANT||02 41 54 05 06||vaillant@domainelesgrandesvignes.com;;;oui;;"Cartes bancaires;Chèques bancaires et postaux";47.249694,-0.521785;Maine-et-Loire
DOMAINE HENRI POIRON & FILS;Vins;;;Les Quatre Routes;;44690;;MAISDON-SUR-SEVRE;;44088;47.1187945;-1.3644538;"Gare SNCF||nantes||25;Autoroute||||10;Route (nationale/départ.)||||0;Gare routière||clisson||7;Aéroport/aérodrome||nantes||25";;02 40 54 60 58;;contact@poironhenri.com;http://www.poironhenri.com/;;;Facebook||https://www.facebook.com/pages/Domaine-Henri-Poiron-Et-Fils;;Viticulture;"Caves touristiques vignoble de Loire;Vignobles et découvertes";;oui;;oui;50;8;"Anglais;Français";"Gros Plant du Pays Nantais;Muscadet Sèvre-et-Maine";oui;oui;oui;1h30;1h30;oui;oui;non;;oui;oui;"Français;Anglais";non;;oui;;;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.1187945,-1.3644538;Loire-Atlantique
EPICERIE LA TERRASSE DE L'EVRE;"Bières;Confiserie / chocolat;Fromage et produit laitier;Fruits / légumes;Glace;Poisson;Produits cidricoles / Jus de fruit;Produits du terroir (boutique);Vins";38 rue de l'Evre;;;LE MARILLAIS;49410;;MAUGES-SUR-LOIRE;;49244;47.3610784;-1.0351894;Gare SNCF||Varades||3,4;;02 41 72 72 13;;;;;;Facebook||https://www.facebook.com/LaTerrasseDeLEvre;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;Proposition clientèle||RES1108000019;oui;;||02 41 72 72 13||;;;oui;;"Cartes bancaires;Espèces";47.3610784,-1.0351894;Maine-et-Loire
DOMAINE DHOMME;Vins;;;46, les Petits Fresnaies;;49290;;CHALONNES-SUR-LOIRE;;49063;47.3423503;-0.7572225;"Gare SNCF||||2;Autoroute||||15;Route (nationale/départ.)||||0;Transport en commun||||1";;02 41 45 06 53;;info@domainedhomme.com;http://www.domainedhomme.com;;;Facebook||https://www.facebook.com/domainedhomme;;Viticulture;"Agriculture Biologique (AB);Caves touristiques vignoble de Loire;Vignobles et découvertes";;oui;;oui;50;;"Allemand;Anglais;Français";"Anjou Blanc;Anjou Gamay;Anjou Rouge;Anjou Villages;Cabernet d'Anjou;Coteaux du Layon;Crémant de Loire;Rosé de Loire;Savennières";oui;oui;oui;1h;1h;oui;;non;non;oui;;"Français;Allemand;Anglais";oui;;oui;"01/01/2022||12/08/2022||||Samedi matin sur RDV. Fermé les dimanches et jours fériés.||09:00||12:30||14:00||18:00||09:00||12:30||14:00||18:00||09:00||12:30||14:00||18:00||09:00||12:30||14:00||18:00||09:00||12:30||14:00||18:00||||||||||||||||;22/08/2022||31/12/2022||||Samedi matin sur RDV. Fermé les dimanches et jours fériés.||09:00||12:30||14:00||18:00||09:00||12:30||14:00||18:00||09:00||12:30||14:00||18:00||09:00||12:30||14:00||18:00||09:00||12:30||14:00||18:00||||||||||||||||";;;;oui;Tarif indiv. adulte||||||Visite+Dégustation 3€/pers / groupe à partir de 10 px;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.3423503,-0.7572225;Maine-et-Loire
CHÂTEAU PRINCÉ;Vins;;;Le Petit Princé;;49610;;SAINT-MELAINE-SUR-AUBANCE;;49308;47.38841;-0.51954;"Route (nationale/départ.)||D 127||1;Autoroute||A 87||5;Gare SNCF||Angers Saint Laud||20;Gare routière||Angers Saint Laud||20;Transport en commun||Anjou Bus||2;Aéroport/aérodrome||Angers Loire Aéroport||35";;02 41 38 10 85;02 41 38 18 04;bureau@chateauprince.fr;;;;"Facebook||https://www.facebook.com/chateauprince;Instagram||https://www.instagram.com/chateau_prince/?hl=fr";;Viticulture;Agriculture Biologique (AB);;;;oui;;;Français;"Anjou Blanc;Anjou Villages Brissac;Coteaux de l'Aubance;Crémant de Loire";oui;oui;oui;;;non;non;non;;non;non;"Français;Anglais";non;;oui;;AURORE BIZOT||02 41 38 10 85||bureau@chateaudeparnay.fr;||http://www.chateaudeparnay.fr/contact.html||||02 41 38 10 85||bureau@chateaudeparnay.fr;oui;oui;;"Cartes bancaires;Chèques bancaires et postaux";47.38841,-0.51954;Maine-et-Loire
CREATION DE VITRAUX;Vitrail;;;37 rue Anatole Carré;;72500;;VAAS;;72364;47.69586;0.40253;"Route (nationale/départ.)||D305||0;Autoroute||A28 sortie 26||5;Gare SNCF||Vaas||0,6";;;;;;;;;;Artisanat / Art;;;non;;oui;20;5;Français;;;non;non;1h;1h30;oui;oui;non;oui;oui;oui;Français;non;;;||||Ouvert le samedi tous les 15 jours  de 14h à 18h||Fermé en août||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;;47.69586,0.40253;Sarthe
DOMAINE DE SAINTE ANNE;Vins;;;Sainte Anne;Brissac Quincé;49320;;BRISSAC LOIRE AUBANCE;;49050;47.36278;-0.44958;"Route (nationale/départ.)||D55||0,1;Aéroport/aérodrome||A 87||5;Gare SNCF||Angers Saint Laud||20;Gare routière||Angers||20;Aéroport/aérodrome||Angers Loire Aéroport||40";;02 41 91 24 58;02 41 91 25 87;contact.anne@orange.fr;http://domaine-sainteanne.com;;;Facebook||https://www.facebook.com/pages/Domaine-de-Sainte-Anne/411088932300084?fref=ts;;Viticulture;"Caves touristiques vignoble de Loire;Vignobles et découvertes";;non;;oui;20;10;"Anglais;Français";"Anjou Fines Bulles;Anjou Gamay;Anjou Rouge;Anjou Villages Brissac;Cabernet d'Anjou;Coteaux de l'Aubance;Coteaux du Layon;Crémant de Loire;Rosé d'Anjou;Rosé de Loire";oui;oui;oui;;1h00;oui;oui;oui;;oui;oui;"Français;Anglais";non;;oui;;Eva BRAULT||02 41 91 24 58||;;;oui;;"Cartes bancaires;Chèques bancaires et postaux";47.36278,-0.44958;Maine-et-Loire
ATELIER DE CÉRAMIQUE PAOLA PERRON;"Art de la table;Céramique, faïence, émail;Poterie;Sculpture";;;logis de Vallette;Bocé;49150;;BAUGE-EN-ANJOU;;49018;47.5107202;-0.1084172;"Route (nationale/départ.)||D938/D766||0,5;Autoroute||A11||15;Aéroport/aérodrome||Angers-Marcé||20;Gare SNCF||Angers||44;Gare routière||Baugé||4;Héliport||Angers-Marcé||20;Transport en commun||Baugé||4";06 24 91 53 52;;;paola.perron@laposte.net;http://www.paolaperron.fr;;;;;Artisanat / Art;;;oui;tenus en laisse;oui;20;1;Français;;non;;oui;1h;1h;oui;oui;non;;oui;oui;Français;non;;oui;01/01/2021||31/12/2022||sur rdv||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;Chèques bancaires et postaux;47.5107202,-0.1084172;Maine-et-Loire
VISITE DU GRAND PORT MARITIME NANTES-SAINT-NAZAIRE PORT;Bateau;;Base sous marine;Boulevard de la légion d'honneur;;44600;;SAINT-NAZAIRE;;44184;47.2754904;-2.2033557;"Transport en commun||Ligne Helyce - Arrêt : Rue de la paix||0,6;Transport en commun||Ligne U2 / U4 / S/D - Arrêt : Ruban Bleu||0,3;Gare SNCF||||1,7";;02 28 54 06 40;;visite@saint-nazaire-tourisme.com;;;;Facebook||https://www.facebook.com/SaintNazaireTourisme/;;Industrie extractive et manufacturière (hors alimentaire);"Qualité Tourisme;Visitez nos entreprises";;non;;oui;50;20;Français;;;;;2h;2h;oui;oui;non;;oui;non;Français;non;"Proposition clientèle||ASCPDL044V5088BE;Proposition clientèle||ASCPDL044V5088BE";non;01/01/2022||31/12/2022||Réservation obligatoire sur www.saint-nazaire-tourisme.com ou par téléphone au 02 28 540 640||Voir calendrier des visites sur www.saint-nazaire-tourisme.com.. Pas de visite les 24/12, 25/12 et 1/01/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||02 28 54 06 40||visite@saint-nazaire-tourisme.com;;;non;"Tarif indiv. adulte||17,00||||Réservation obligatoire;Tarif indiv. enfant||8,50||||Visite conseillée à partir de 7 ans. Ce tarif concerne les enfants de 4 à 17 ans. Réservation obligatoire.;;Tarif indiv. réduit||15,00||||Pour les lycéens, étudiants, demandeurs d’emploi, personnes en situation de handicap (sur présentation d'un justificatif) et son accompagnant.;Réservation obligatoire.;Tarif groupe adulte||12,00||||Tarifs HORS transport à partir de 20 personnes payantes.;Tarif groupe enfant||8,00||||Tarifs HORS transport à partir de 20 personnes payantes.";"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances";47.2754904,-2.2033557;Loire-Atlantique
VISITE CHANTIERS DE L'ATLANTIQUE;Bateau;;Base sous-marine;Boulevard de la Légion d'honneur;;44600;;SAINT-NAZAIRE;;44184;47.2757524;-2.2034629;"Transport en commun||Ligne Helyce - Arrêt: Rue de la paix	||0,6;Transport en commun||Ligne U2 / U4 / S/D - Arrêt: Ruban Bleu||0,3;Gare SNCF||||1,7";;02 28 54 06 40;;visite@saint-nazaire-tourisme.com;https://www.saint-nazaire-tourisme.com/les-visites/les-visites-industrielles/chantiers-navals/;;"https://youtu.be/e5nHnpdRoXM<span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span>";"Facebook||https://www.facebook.com/SaintNazaireTourisme/;Instagram||https://www.instagram.com/saintnazairetourisme/;Twitter||https://twitter.com/visitstnazaire?lang=fr";;Industrie;"Qualité Tourisme;Visitez nos entreprises";;non;;oui;50;20;"Anglais;Français";;;;;2h;2h;oui;oui;non;;oui;non;"Français;Anglais";non;;non;01/01/2022||31/12/2022||Voir calendrier des visites en ligne. Visites du samedi 05/06/2021 : Réservation obligatoire sur www.saint-nazaire-tourisme.com ou par téléphone au 02 28 540 640||Voir calendrier des visites sur www.saint-nazaire-tourisme.com. Pas de visite les 24/12 et 25/12 et 1/01/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||02 28 54 06 40||visite@saint-nazaire-tourisme.com;;;non;"Tarif indiv. adulte||17,00||||Réservation obligatoire;Tarif indiv. enfant||8,50||||Visite conseillée à partir de 7 ans.;Tarif pour les enfants de 4 à 17 ans.;Tarif indiv. réduit||15,00||||Pour les lycéens, étudiants, demandeurs d'emploi, personne en situation de handicap et son accompagnant (sur présentation d'un justificatif);Tarif groupe adulte||11,00||12,00||Tarifs HORS transport à partir de 20 personnes payantes.;Tarif groupe enfant||7,00||||Tarifs HORS transport à partir de 20 personnes payantes.";"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances";47.2757524,-2.2034629;Loire-Atlantique
VISITE D'AIRBUS;Avion;;;Boulevard de la Légion d'Honneur;Base sous-marine;44600;;SAINT-NAZAIRE;;44184;47.2756474;-2.2033659;"Transport en commun||Ligne Helyce - Arrêt: Rue de la paix||0,6;Transport en commun||Ligne U2 / U4 / S/D - Arrêt: Ruban Bleu||0,3;Gare SNCF||||1,7";;02 28 54 06 40;;visite@saint-nazaire-tourisme.com;https://www.saint-nazaire-tourisme.com/les-visites/les-visites-industrielles/airbus/;;"https://youtu.be/5qOSE7A30D8<span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span>";"Instagram||https://www.instagram.com/saintnazairetourisme/;Twitter||https://twitter.com/visitstnazaire?lang=fr;Pinterest||https://www.pinterest.fr/saintnazaire/;Facebook||https://www.facebook.com/SaintNazaireTourisme/";;Industrie;"Qualité Tourisme;Visitez nos entreprises";;non;;oui;50;20;"Anglais;Français";;;;;2h;2h;oui;oui;non;;oui;non;"Français;Anglais";non;;non;"01/01/2022||31/12/2022||Réservation obligatoire sur www.saint-nazaire-tourisme.com ou au 02 28 540 640. Inscriptions closes au plus tard 2 jours ouvrés avant la date de la visite||Voir calendrier des visites sur www.saint-nazaire-tourisme.com. Pas de visites les dimanches et jours féries, ni le 24/12;||||||||||||||||||||||||||||||||||||||||||||||||||||||||";||02 28 54 06 40||visite@saint-nazaire-tourisme.com;;;non;"Tarif indiv. adulte||17,00||||Réservation obligatoire. Inscriptions closes au plus tard 48 heures avant la date de la visite.;Tarif indiv. enfant||8,50||||Visite conseillée à partir de 7 ans.;Ce tarif concerne les enfants de 4 à 17 ans.;Réservation obligatoire. Inscriptions closes au plus tard 48 heures avant la date de la visite.;Tarif indiv. réduit||15,00||||Pour les lycéens, étudiants, demandeurs d’emploi, personne en situation de handicap et son accompagnant.;Réservation obligatoire. Inscriptions closes au plus tard 48 heures avant la date de la visite.;Tarif groupe adulte||12,00||||Tarifs HORS transport à partir de 20 personnes payantes.;Tarif groupe enfant||8,00||||Tarifs HORS transport à partir de 20 personnes payantes.";"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances";47.2756474,-2.2033659;Loire-Atlantique
L'ANCRE;Poisson;;;7 Avenue de la Vieille Ville;;44600;;SAINT-NAZAIRE;;44184;47.2707842;-2.2006145;"Transport en commun||Ligne U2 - Arrêt ""Ruban Bleu""||0,9;Transport en commun||Ligne U4 - Arrêt ""Petit Maroc""||0,55;Gare SNCF||||2,4";;;;;https://www.facebook.com/Vente-de-poissons-en-direct-de-lANCRE-105430634859887/;;;Facebook||https://www.facebook.com/Vente-de-poissons-en-direct-de-lANCRE-105430634859887/;;Activités de la mer;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||Tous les mercredis et samedis||||||||||||||||||||08:30||13:00||||||||||||||||||||||08:30||13:00||||||||||||;;;;;;;47.2707842,-2.2006145;Loire-Atlantique
ARC-EN-CIEL;;;;La Cité Navale;;44220;;COUERON;;44047;47.2096813;-1.7010678;Transport en commun||||;;02.40.85.36.78;;beatrice.moiroux@veolia-proprete.fr;www.visiteznosentreprises.com;;;;;Assainissement et traitement des déchets;;;;;;;;;;;;;;;oui;oui;oui;;oui;oui;;oui;;;||||Hors vacances scolaires||||||||||||||||||||09:00||12:00||13:30||18:00||09:00||12:00||13:30||18:00||09:00||12:00||13:30||18:00||||||||||||||||;;;;oui;;;47.2096813,-1.7010678;Loire-Atlantique
BRASSERIE DU BOUFFAY;Bières;;;54 rue des Monceaux;;44470;;CARQUEFOU;;44026;47.3104336;-1.5076006;Transport en commun||||;;02.40.52.76.16;02.40.73.02.97;;;;;Facebook||https://www.facebook.com/brasserie-du-bouffay;;"Agro-alimentaire;Artisanat / Art";Agriculture Biologique (AB);;non;;non;;;"Anglais;Français";;non;oui;oui;;1h30;non;oui;non;oui;non;non;Français;non;;oui;||||||||09:00||12:30||13:30||17:00||09:00||12:30||13:30||17:00||09:00||12:30||13:30||17:00||09:00||12:30||13:30||17:00||09:00||||||16:00||||||||||||||||;;;;oui;;Chèques bancaires et postaux;47.3104336,-1.5076006;Loire-Atlantique
﻿OFFRE TEST PASSERELLE DEG;;;;;;49400;;SAUMUR;;49328;47.260135;-0.080893;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.260135,-0.080893;Maine-et-Loire
CENTRE ÉQUESTRE DE LA CHEVRIE;Viande;;;;;53240;;LA BACONNIERE;;53015;48.18336;-0.8937889;;06 03 90 47 40;02 43 68 02 76;;sandrine.bouttier@wanadoo.fr;http://www.centre-equestre-mayenne.fr;;;;;Agro-alimentaire;;;;;;;;;;;;oui;;;;;;;;;;;;;;Sandrine BOUTTIER||06 03 90 47 40||sandrine.bouttier@wanadoo.fr;;;;;Chèques bancaires et postaux;48.18336,-0.8937889;Mayenne
MON MARCHE PAYSAN;"Fromage et produit laitier;Fruits / légumes;Pain / Pâtisserie;Produits cidricoles / Jus de fruit;Viande;Volailles / Oeufs";;;;360 La Haie de Ligné;44850;;LIGNE;;44082;47.4001438;-1.4043114;;;02 72 00 21 07;;contact@mon-marche-paysan.com;http://mon-marche-paysan.com;;;Facebook||https://www.facebook.com/Mon-march%C3%A9-paysancom-138518792842660/photos;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;oui;;;47.4001438,-1.4043114;Loire-Atlantique
GAEC DE L'ORIONNIÈRE;"Viande;Volailles / Oeufs";;;;7 La Jouinière - DRAIN;49270;;OREE D'ANJOU;;49069;47.2674916;-1.237136;;06 47 86 65 97;;;hubertauneau@orange.fr;;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;oui;;AUNEAU||06 47 86 65 97||hubertauneau@orange.fr;;;;;;47.2674916,-1.237136;Maine-et-Loire
DOMAINE DE LA MARETIÈRE;Vins;;;;7 La Maretière - TILLIERES;49230;;SEVREMOINE;;49301;47.1383089;-1.221023;;;02 41 63 53 02;;domainedelamaretiere@orange.fr;http://www.domainedelamaretiere.com/;;;;;Viticulture;;;oui;;;;;;Muscadet Sèvre-et-Maine;oui;oui;oui;;;;;;;;;Français;;"Proposition clientèle||ITIPDL049V50ADIE;Proposition clientèle||ACCAMPDL049V50AD4A";oui;;;;;oui;;"Chèques bancaires et postaux;Espèces";47.1383089,-1.221023;Maine-et-Loire
YVES JUMEAU - SCULPTEUR;Sculpture;;;;Anerais;72370;;ARDENAY-SUR-MERIZE;;72007;48.003563;0.4277415;;;02 43 89 89 46;;;;;;;;Artisanat / Art;;;;;;;;Français;;;;;;;;;;;;;;;;oui;;;;;;;;48.003563,0.4277415;Sarthe
DOMAINE DE LA CENDRINERIE;Vins;;;;La Cendrinerie;72340;;MARCON;;72183;47.7185553;0.5187261;;06 88 11 41 62;;;lacendrinerie@gmail.com;;;;;;Viticulture;;;;;;;;;Coteaux du Loir;oui;oui;oui;;;;;;;;;Français;;;oui;;;;;oui;;;47.7185553,0.5187261;Sarthe
TERRE ET LOIRE;Poisson;;;;La Chapelle;49190;;ROCHEFORT-SUR-LOIRE;;49259;47.362658;-0.675687;;02 41 74 99 29;;;terreetloire@orange.fr;http://www.terreetloire.fr;;;Facebook||https://www.facebook.com/Terre-et-Loire-170105329679764/;;Agriculture / horticulture / Pêche;;;;;;;;Français;;;;;;;;;;;;;;;;;;;;;;;;47.362658,-0.675687;Maine-et-Loire
PRODUCTEUR GAEC DE LA CHOTARDIÈRE;Viande;;;;La Chotardière;49800;;LOIRE-AUTHION;;49307;47.497526;-0.4111711;;;02 41 76 80 78;;;;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.497526,-0.4111711;Maine-et-Loire
EARL CHARTIER GIRARD;;;;;La Claverie;72220;;SAINT-GERVAIS-EN-BELIN;;72287;47.865085;0.20795899;;;0243428604;;earlchartiergirard@hotmail.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.865085,0.20795899;Sarthe
PATRICK GAUTHIER;Fruits / légumes;;;;La Colombière, Sainte-Gemmes d'Andigné;49500;;SEGRÉ-EN-ANJOU BLEU;;49331;47.649095;-0.876197;;06 19 24 37 46;;;vergerdelepinay@gmail.com;;;;Facebook||https://www.facebook.com/Verger-de-lepinay-746004682152305/;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;;;;;;;;;;;;;;;;;;;;;;oui;;Gauthier Patrick||06 19 24 37 46||vergerdelepinay@gmail.com;;;;;;47.649095,-0.876197;Maine-et-Loire
BALADE AU JARDIN;"Confiture;Glace;Produits apicoles;Volailles / Oeufs";;;;La Grande Buchaille;72540;;EPINEU-LE-CHEVREUIL;;72126;48.0409164;-0.0997614;;06 89 56 94 59;06 89 56 94 59;;baladeaujardin@gmail.com;;;;Facebook||https://www.facebook.com/baladeaujardin.fr/;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;;;;;;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||||||||||||||||||||||17:00||19:00||||||||||||||17:00||19:00||||||||||||||||||||;;;;;;;48.0409164,-0.0997614;Sarthe
EARL LORY - FERME DE LA GRANDE MOUSSE;Fromage et produit laitier;;;;La grande mousse;72110;;BRIOSNE-LES-SABLES;;72048;48.1647277;0.39159661;;06 15 73 10 25;02 43 29 35 80;;;https://www.bienvenue-a-la-ferme.com/pays-de-la-loire/sarthe/briosne-les-sables/ferme/ferme-de-la-grande-mousse/183108;;;;;Agriculture / horticulture / Pêche;Bienvenue à la Ferme;;;;;;;Français;;;;;;;;;;;;;;;;;;;;;;;;48.1647277,0.39159661;Sarthe
DELPHINE LAURAY - POTIER;Poterie;;;;La Guichardière;72390;;DOLLON;;72118;48.0543659;0.54649599;;;02 43 89 75 49;;;;;;;;Artisanat / Art;;;;;;;;"Anglais;Espagnol;Français";;;non;oui;00:30;00:30;oui;oui;non;oui;oui;;"Français;Anglais;Espagnol";oui;;oui;;||02 43 89 75 49||;;;;;Chèques bancaires et postaux;48.0543659,0.54649599;Sarthe
FERME DE LA GUICHETIÈRE - GAEC DU THOUET;Viande;;;;La Guichetiere - BOUZILLE;49270;;OREE D'ANJOU;;49069;47.350491;-1.108523;;06 71 85 53 41;;;gaecduthouet@gmail.com;;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;;;Gaec du Thouet||06 71 86 53 41||;;;;;;47.350491,-1.108523;Maine-et-Loire
AGNEAU FERMIER 53;Viande;;;;La Guéjardière;53170;;RUILLE-FROID-FONDS;;53193;47.8880833;-0.6093794;;06 31 92 02 93;02 43 07 10 16;;charlotte@agneaufermier53.fr;https://www.agneaufermier53.fr/;;;"Facebook||https://www.facebook.com/agneaufermier53/;Instagram||https://www.instagram.com/polldorsetsfrance/";;Agriculture / horticulture / Pêche;;;;;;;;;;;;oui;;;non;oui;non;oui;non;oui;Français;non;;oui;;;;;;;;47.8880833,-0.6093794;Mayenne
LA BUTINERIE;Produits apicoles;;;;La Haye Grouet;53470;;COMMER;;53072;48.2435767;-0.6445889;;06 52 15 41 78;;;nicopigache@outlook.fr;;;;;;Agriculture / horticulture / Pêche;;;;;;;;Français;;;;oui;;;;;;;;;;;;oui;;;;;;;Chèques bancaires et postaux;48.2435767,-0.6445889;Mayenne
FERME BRIN DE LAINE BRIN DE PAILLE;Laine;;;;La Pouponnière Neuve - TORFOU;49660;;SEVREMOINE;;49301;47.0718129;-1.0586618;;;02 41 63 56 49;;brindelainebrindepaille@orange.fr;;;;;;Artisanat / Art;;;;;;;;;;;;;;;;oui;;oui;;;Français;;Proposition clientèle||ITIPDL049V50AEE6;oui;;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.0718129,-1.0586618;Maine-et-Loire
FORGERON - COUTELIER;;;;;La Terpinière;53480;;VAIGES;;53267;48.035017;-0.443172;;06 42 87 76 38;;;manu.davoust@aliceadsl.fr;;;;Facebook||https://www.facebook.com/Manu-davoust-coutelier-forgeron-101843368328243/;;Artisanat / Art;;;;;;;;Français;;;;oui;;;;;;;;;;;;oui;||||Sur demande||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;48.035017,-0.443172;Mayenne
LES FROMAGES ET L'APICOLE DE SOPHIE;Produits du terroir (boutique);;;;Le Grand Boulay;72300;;SOUVIGNE-SUR-SARTHE;;72343;47.826768;-0.386665;;06 46 30 25 12;02 43 92 36 34;;lesfromagesdesophie@hotmail.fr;;;;Facebook||https://www.facebook.com/lesfromagesdesophie72;;"Agriculture / horticulture / Pêche;Agro-alimentaire";Bienvenue à la Ferme;;;;;;;;;;;;;;;;;;;;;;;oui;01/01/2022||31/12/2022||sur RDV||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;;47.826768,-0.386665;Sarthe
LES SAVEURS DU LEARD;"Bières;Confiture;Fruits / légumes;Produits apicoles;Produits cidricoles / Jus de fruit;Rillettes;Vins";;;;Le Léard;72300;;VION;;72378;47.8287847;-0.2586151;;;02 43 95 48 06;;;;;;Facebook||https://www.facebook.com/Les-saveurs-du-L%C3%A9ard-Vergers-Timmerman-117555173489014/;;Agriculture / horticulture / Pêche;"Agriculture Biologique (AB);Bienvenue à la Ferme;Haute valeur environnementale (HVE)";;;;;;;;;;non;oui;;;;;;;;;;;;oui;01/01/2022||31/12/2022||||Fermeture estivale de mi juillet à mi aout||08:00||12:00||13:00||17:30||08:00||12:00||13:00||17:30||08:00||12:00||13:00||17:30||08:00||12:00||13:00||17:30||08:00||12:00||13:00||17:00||||||||||||||||;;;;;;"Chèques bancaires et postaux;Espèces";47.8287847,-0.2586151;Sarthe
DOMAINE DE LA GUIGNIÈRE;Vins;;;;Le Petit Plessis - LIRE;49270;;OREE D'ANJOU;;49069;47.3309475;-1.1764408;;06 21 22 36 81;;;;http://www.domainedelaguigniere.com/;;;;;Viticulture;;;;;;;;;"Anjou Rouge;Cabernet d'Anjou;Coteaux d'Ancenis;Muscadet Coteaux de la Loire;Rosé d'Anjou";oui;;;;;;;;;;;;;;oui;;;;;oui;;;47.3309475,-1.1764408;Maine-et-Loire
