Nom de l'offre touristique;Catégorie de l'offre;Type de l'offre;Adresse1;Adresse partie 1 suite;Adresse2;Adresse3;Code postal;Nom de la commune;Cedex de l'adresse postale;Code Insee de la Commune;Latitude;Longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Présence sur plateforme(s) communautaire(s);Code Embed pour intégrer une video;Widget tripadvisor;Equipements;Labels;Chaînes;Classement dans un label;CLassement pour le label Logis;Label tourisme handicap;Animal accepté: oui / non;Complément information animal accepté;SPaccessibilite;Présence l'offre sur les grands itinéraires vélo;Nombre chambres;Nombre chambres familiales;Nombre chambres pour accès à mobilité réduite;Groupe accepté: oui / non;Langues parlées à l'accueil;Présence salle de réunion: oui / non;Ouverture 24h / 24h: oui / non;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Moyen(s) de réservation en ligne;Centrale de réservation en ligne?;Tarifs;Modes de paiement acceptés;localisation;departement
HOTEL LE RELAIS DU LOIR;3 étoiles;Hôtel;;;40, promenade Maréchal Foch;;72200;LA FLECHE;;72154;47.697856;-0.0778537;"Autoroute||A11 sortie Sablé - La Flèche||12;Gare routière||||0,5";;02 43 94 00 60;;;http://www.hotelrelaisduloir.com;;;;;WiFi;Qualité Tourisme;Contact hôtel;;;;oui;5 euros/animal;non;"La Vallée du Loir à vélo;Sarthe à Vélo";25;5;2;oui;"Anglais;Français";non;non;oui;;BEYER||02.43.94.00.60||contact@hotelrelaisduloir.com;;;"Chambre double||79,00||89,00||;Chambre familiale||140,00||190,00||;Petit-déjeuner / pers||13,00||||";"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Tickets Restaurant";47.697856,-0.0778537;Sarthe
HÔTEL LA HAUTE FORÊT;3 étoiles;Hôtel;;;53 Boulevard de l'Europe;;44120;VERTOU;;44215;47.1692295;-1.4661752;"Aéroport/aérodrome||||10,3182;Gare maritime||||9,11859;Gare SNCF||Gare SNCF - accès Nord||7,9454;Gare SNCF||Gare SNCF - accès Sud||7,76438";;02 40 34 01 74;;;http://www.hotel-vertou.com;;Facebook||https://www.facebook.com/pages/La-Haute-For%C3%AAt/111688265643794?ref=hl;;;"Parking privé;Restaurant;WiFi";;Logis;;"Hôtel Essentiel;Restaurant de terroir";;oui;5.00€ par nuit Merci de tenir les chiens en laisse;;;34;2;;oui;Anglais;oui;non;oui;||||Du lundi au jeudi de 8h à 22h, vendredi de 8h à18h, le samedi de 9h à 12h. ||Fermeture 1 semaine à Noël , 1 semaine au printemps, 3 semaines en Août||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||02 40 34 01 74||lahauteforet@orange.fr;||http://reservation.nantes-tourisme.com/fr/hebergements/a105610/HOTPDL044105610/reserver||||||;oui;"Chambre single||66,00||||;Chambre double||72,00||||;Chambre familiale||95,00||||;Soirée étape affaires||86,00||90,00||;Petit-déjeuner / pers||10,00||||";"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Tickets Restaurant;Virement";47.1692295,-1.4661752;Loire-Atlantique
HOTEL IBIS BUDGET ANCENIS;2 étoiles;Hôtel;;;630 rue de l'Industrie;BP 80213;44522;MESANGER;;44096;47.4122857;-1.1919448;"Autoroute||Autoroute A11, sortie n°20||1,5;Route (nationale/départ.)||D923||0,45;Route (nationale/départ.)||D723||6";;08 92 70 12 48;;;http://www.ibisbudget.com;;Tripadvisor||https://www.tripadvisor.fr/Hotel_Review-g1941115-d1979043-Reviews-Ibis_Budget_Ancenis-Mesanger_Loire_Atlantique_Pays_de_la_Loire.html;;"<div id=""TA_selfserveprop268"" class=""TA_selfserveprop"">;<ul id=""0k5oc9irF3"" class=""TA_links DsL3kLjRRM"">;<li id=""RK3Hq8Ig3"" class=""nigFTZq1"">;<a target=""_blank"" href=""https://www.tripadvisor.fr/""><img src=""https://www.tripadvisor.fr/img/cdsi/img2/branding/150_logo-11900-2.png"" alt=""TripAdvisor""/></a>;</li>;</ul>;</div>;<script src=""https://www.jscache.com/wejs?wtype=selfserveprop&amp;uniq=268&amp;locationId=1979043&amp;lang=fr&amp;rating=true&amp;nreviews=3&amp;writereviewlink=false&amp;popIdx=false&amp;iswide=false&amp;border=true&amp;display_version=2""></script>;";"Climatisation;Parking privé;Restaurant;WiFi";;Ibis;;;;oui;;non;;63;3;3;;"Anglais;Français";oui;oui;oui;;;||http://www.ibis.com/fr/booking/room-dates.shtml||||||;oui;;"Cartes bancaires;Chèques Vacances";47.4122857,-1.1919448;Loire-Atlantique
HÔTEL PREMIÈRE CLASSE STE LUCE-SUR-LOIRE;1 étoile;Hôtel;;;2, rue Louis Armand;;44980;SAINTE-LUCE-SUR-LOIRE;;44172;47.2643242;-1.4870984;"Aéroport/aérodrome||||14,6501;Gare maritime||||9,19863;Gare SNCF||Gare SNCF - accès Nord||6,67731;Gare SNCF||Gare SNCF - accès Sud||6,7951";;08 92 23 48 14;;;http://www.premiereclasse.com/fr/hotels/premiere-classe-nantes-est-sainte-luce-sur-loire;;;;;WiFi;;;;;;;;;;43;;2;;;;;oui;"||||6h30-11h00 et de 17h-21h en semaine;7h00-11h00 et 17h00-21h00 les week-ends et jours fériés||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;||http://reservation.nantes-tourisme.com/fr/hebergements/a247774/HOTPDL044247774/reserver||||||;oui;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances";47.2643242,-1.4870984;Loire-Atlantique
HÔTEL MERCURE NANTES CENTRE GARE;4 étoiles;Hôtel - Restaurant;;;50-51 Quai Malakoff;;44000;NANTES;;44109;47.216145;-1.543225;"Gare SNCF||Gare SNCF - accès Sud||0;Gare SNCF||Gare SNCF - accès Nord||0,217426;Aéroport/aérodrome||||7,77478;Gare maritime||||2,47469";;02 40 35 30 30;;;http://www.mercure.com/fr/hotel-3448-hotel-mercure-nantes-centre-gare/index.shtml;;;;;"Garage privé;Restaurant;WiFi";Clef Verte;Mercure;;;;oui;9€/jour;;;117;;5;oui;"Allemand;Anglais;Espagnol;Français";oui;oui;oui;||||24H/24, veilleur de nuit||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;||http://reservation.nantes-tourisme.com/fr/hebergements/a40698/HOTPDL04440698/reserver||||||;oui;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Tickets Restaurant";47.216145,-1.543225;Loire-Atlantique
HOTEL & SPA BEST WESTERN PLUS VILLA SAINT ANTOINE;4 étoiles;Hôtel;;;8 rue Saint-Antoine;;44190;CLISSON;;44043;47.0868717;-1.2783918;"Gare SNCF||GARE DE CLISSON||1;Autoroute||PARIS||40;Transport en commun||TER GARE DE CLISSON||1;Aéroport/aérodrome||AEROPORT NANTES ATLANTIQUE||32";;02 40 85 46 46;02 40 85 46 47;;https://www.hotel-villa-saint-antoine.com/;"http://vimeo.com/108217221;https://vimeo.com/108217221;https://www.youtube.com/watch?v=jYtlHzDHepc;https://www.youtube.com/watch?v=jYtlHzDHepc";"Facebook||https://www.facebook.com/villasaintantoine.bestwestern;Google+||https://plus.google.com/113343805857434143508/about?hl=fr;Tripadvisor||http://www.tripadvisor.fr/Hotel_Review-g1842343-d1833082-Reviews-BEST_WESTERN_Villa_Saint_Antoine-Clisson_Loire_Atlantique_Pays_de_la_Loire.html;Foursquare||https://foursquare.com/v/best-western-villa-saint-antoine/;Twitter||https://twitter.com/VILLASAINTANTOI;Flickr||http://www.flickr.com/photos/villasaintantoire/;Instagram||https://instagram.com/bestwesternplusvillastantoine";;;"Climatisation;Espace bien-être;Parking privé;Piscine;Restaurant;WiFi";"Clef Verte;Qualité Tourisme";Best Western;;;;oui;supplement 10 € PAR NUIT;non;;43;7;2;oui;"Allemand;Anglais;Espagnol;Français";oui;oui;oui;;La réception||02 40 85 46 46||c.peneau@hotel-villa-saint-antoine.com;||https://www.hotel-villa-saint-antoine.com/||http://hotel.reservit.com/reservit/avail-info.php?lang=FR&hotelid=156603&userid=6602ef7c876c4104d4a453c34d488aee73e8&__utmc=1&__utma=1.1824773848.1341588376.1351692544.1353324103.5&__utmz=1.1353324103.5.5.utmcsr%3Dhotel-villa-saint-antoine.com%7Cutmccn%3D%28referral%29%7Cutmcmd%3||02 40 85 46 46||contact@hotel-villa-saint-antoine.com;oui;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Tickets Restaurant;Virement";47.0868717,-1.2783918;Loire-Atlantique
HÔTEL SAINT YVES;2 étoiles;Hôtel;;;154 rue du Général Buat;;44000;NANTES;;44109;47.224924;-1.544373;"Gare SNCF||Gare SNCF - accès Sud||0,99429;Gare SNCF||Gare SNCF - accès Nord||0,787543;Aéroport/aérodrome||||8,60799;Gare maritime||||3,04521";;02 40 74 48 42;;;www.hotel-saintyves.fr;;;;;;"Accueil Vélo;La Loire à vélo;La Vélodyssée";;;;;non;;non;"EV1-La Vélodyssée;EV6-La Loire à Vélo";10;;;;;;;oui;||||7h à 22h||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;||http://reservation.nantes-tourisme.com/fr/hebergements/a40830/HOTPDL04440830/reserver||||||;oui;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances";47.224924,-1.544373;Loire-Atlantique
HÔTEL RESTAURANT L'INSTANT B.;Non classé;Hôtel - Restaurant;;;4 place Jean Guihard;;44130;BLAIN;;44015;47.4755592;-1.7648189;"Gare SNCF||Gare de Nantes||38;Route (nationale/départ.)||RN 137||13;Transport en commun||Lignes LILA 11 et 71, arrêt ""Pl Jollan""||0,3";;02 28 05 98 44;;;;;Facebook||https://www.facebook.com/linstantbfamily/?ref=page_internal;;;"Restaurant;WiFi";;;;;;oui;;non;;8;;;;"Anglais;Français;Italien";;;oui;;;;;"Chambre familiale||70,00||||;Chambre double||55,00||65,00||";"Cartes bancaires;Chèques bancaires et postaux;Tickets Restaurant";47.4755592,-1.7648189;Loire-Atlantique
HÔTEL IBIS STYLES NANTES CENTRE PLACE ROYALE;3 étoiles;Hôtel;;;3 rue du Couëdic;;44000;NANTES;;44109;47.214292;-1.557301;"Gare SNCF||Gare SNCF - accès Sud||1,14605;Gare SNCF||Gare SNCF - accès Nord||1,13895;Aéroport/aérodrome||||7,09945;Gare maritime||||1,53771";;02 40 35 74 50;;;http://www.ibis.com/fr/hotel-6855-ibis-styles-nantes-centre-place-royale/index.shtml;;;;;WiFi;Qualité Tourisme;Ibis Style;;;;oui;8€;;;65;;1;oui;"Allemand;Anglais;Espagnol";;oui;oui;||||24H/24 - accueil de nuit||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;||http://reservation.nantes-tourisme.com/fr/hebergements/a40746/HOTPDL04440746/reserver||||||;oui;;"Cartes bancaires;Chèques Vacances";47.214292,-1.557301;Loire-Atlantique
HÔTEL DE LA GARE;Non classé;Hôtel - Restaurant;;;4 boulevard Edouard Branly;;44260;SAVENAY;;44195;47.358852;-1.944482;"Gare SNCF||GARE DE SAVENAY||0;Gare routière||||2;Transport en commun||||0;Aéroport/aérodrome||||35;Gare maritime||||35";;02 40 56 90 03;02 40 56 95 64;;http://www.hotel-restaurant-savenay.fr;;"Facebook||https://www.facebook.com/pages/H%C3%B4tel-de-la-Gare/295329737323539?ref=hl;||http://www.hotel-restaurant-savenay.fr";;;"Parking privé;Restaurant;WiFi";;;;;;oui;tarif : 4€ / animal;non;;17;3;;oui;"Anglais;Espagnol;Français";oui;non;oui;||||||Fermé à Noël et les 2 premières semaines d'août||||||||||||||||||||||||||||||||||||||||||||||||||||||||;MR KETTOU||02 40 56 90 03||hotelsavenay@orange.fr;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Tickets Restaurant";47.358852,-1.944482;Loire-Atlantique
HÔTEL KYRIAD NANTES CENTRE GRASLIN;3 étoiles;Hôtel;;;9, rue du Maréchal de Lattre de Tassigny;;44000;NANTES;;44109;47.211822;-1.560917;"Gare SNCF||Gare SNCF - accès Sud||1,47974;Gare SNCF||Gare SNCF - accès Nord||1,49982;Aéroport/aérodrome||||6,72927;Gare maritime||||1,15755";;02 40 73 85 33;;;www.kyriad-nantes-graslin.fr;;;;;WiFi;"Clef Verte;Club des Hôteliers;Écolabel Européen";Kyriad;;;;oui;Supplément 5€;non;;51;8;3;;"Anglais;Français;Italien";;oui;oui;||||24h/24||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;||http://reservation.nantes-tourisme.com/fr/hebergements/a40824/HOTPDL04440824/reserver||||||;oui;;"Cartes bancaires;Chèques Vacances";47.211822,-1.560917;Loire-Atlantique
HOTEL LE CERF;2 étoiles;Hôtel;;;31, rue Garnier;;53200;CHATEAU-GONTIER-SUR-MAYENNE;;53062;47.8232289;-0.7066899;"Gare SNCF||Gare Laval||33,9;Autoroute||A81 sortie 3||36;Autoroute||A11 sortie 11||44";;02 43 07 25 13;;;http://www.hotel-du-cerf-53.com/;"https://youtu.be/a3C27x8aIIM;https://youtu.be/KDameIucjkw";"Tripadvisor||http://www.tripadvisor.fr/Hotel_Review-g660202-d2109270-Reviews-Hotel_du_Cerf-Chateau_Gontier_Mayenne_Pays_de_la_Loire.html;Facebook||https://www.facebook.com/H%C3%B4tel-du-Cerf-336401289782430/";"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/a3C27x8aIIM"" frameborder=""0"" allowfullscreen></iframe><span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span>;<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/KDameIucjkw"" frameborder=""0"" allowfullscreen></iframe><span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span>";;"Local vélo;Parking privé;WiFi";"Accueil Vélo;Qualité Tourisme";Contact hôtel;;;"Déficience auditive;Déficience mentale;Déficience moteur";oui;SUPLT 8.50 € attention moins de 10kg et acceptation de l'hotel au préalable;oui;"Vélo Francette - Halage Mayenne;Voies vertes de la Mayenne";21;3;2;oui;"Anglais;Français";non;non;oui;15/12/2021||31/12/2022||||||07:30||07:00||21:00||21:00||07:00||||21:00||||07:00||||21:00||||07:00||||21:00||||07:00||||20:00||||08:00||||20:00||||08:00||17:30||11:00||20:00;"Monsieur JUPIN/KHAN||02 43 07 25 13||hotel.du.cerf@cegetel.net;JUPIN / KHAN||02 43 07 25 13||hotel.du.cerf@cegetel.net";||http://contacthotel.reservit.com/reservit/avail-info.php?userid=572276d04e79e79dab0e31830b5a593ad315&lang=FR&action=resa&hotelid=6526||||02 43 07 25 13||hotel.du.cerf@cegetel.net;oui;"Chambre single||65,00||90,00||;Chambre double||69,00||100,00||;Soirée étape affaires||85,00||107,00||;Petit-déjeuner / pers||8,50||8,50||";"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.8232289,-0.7066899;Mayenne
HÔTEL LE CAMBRONNE;1 étoile;Hôtel;;;11, rue Fourcroy;;44000;NANTES;;44109;47.211909;-1.561711;"Gare SNCF||Gare SNCF - accès Sud||1,53371;Gare SNCF||Gare SNCF - accès Nord||1,54944;Aéroport/aérodrome||||6,71067;Gare maritime||||1,11283";;02 40 44 68 00;;;www.hotel-cambronne.com;;;;;WiFi;;;;;;non;;;;19;3;0;non;"Anglais;Espagnol";non;;oui;||||tous les jours de 7h à 20h (fermé la semaine de Noël)||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;||http://reservation.nantes-tourisme.com/fr/hebergements/a40826/HOTPDL04440826/reserver||||||;oui;;"Cartes bancaires;Chèques Vacances";47.211909,-1.561711;Loire-Atlantique
HOTEL RESTAURANT LE RELAIS;Non classé;Hôtel - Restaurant;;;1, rue de l'Oudon;;53400;SAINT-QUENTIN-LES-ANGES;;53251;47.773233;-0.8864671;"Gare SNCF||Gare Laval||42,2;Autoroute||A81 sortie 2||67,5;Autoroute||A81 sortie 3||47,8;Autoroute||A11 Sortie 17||42,4";;02 43 06 10 62;;;http://lerelais53.fr;;;;;"Restaurant;WiFi";;;;;;oui;10 € par jour/animal;non;;14;1;;oui;Français;oui;oui;oui;;Le Relais||02 43 06 10 62||snc.le-relais@orange.fr;;;"Chambre double||60,00||75,00||;Petit-déjeuner / pers||7,50||7,50||";"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Tickets Restaurant";47.773233,-0.8864671;Mayenne
HÔTEL PREMIÈRE CLASSE ST SÉBASTIEN-SUR-LOIRE;1 étoile;Hôtel;P.A DES GRESILLIERES;;1 Avenue Jules Verne;;44230;SAINT-SEBASTIEN-SUR-LOIRE;;44190;47.211698;-1.487231;"Gare SNCF||Gare SNCF - accès Sud||4,19239;Gare SNCF||Gare SNCF - accès Nord||4,28155;Aéroport/aérodrome||||10,5078;Gare maritime||||6,57132";;02 40 80 79 80;;;;;;;;"Parking privé;Restaurant;WiFi";;;;;;oui;3€/jour;non;;70;0;3;oui;"Anglais;Espagnol";non;;oui;||||de 6h30 à 21h la semaine, le week-end et jours fériés de 7h00 à 12h00 et de 17h00 à 21h00||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;||http://reservation.nantes-tourisme.com/fr/hebergements/a40483/HOTPDL04440483/reserver||||||;oui;;"Cartes bancaires;Chèques Vacances";47.211698,-1.487231;Loire-Atlantique
HÔTEL LA PÉROUSE;4 étoiles;Hôtel;Cours des 50 Otages;;3, Allée Duquesne;;44000;NANTES;;44109;47.217251;-1.556711;"Gare SNCF||Gare SNCF - accès Sud||1,09163;Gare SNCF||Gare SNCF - accès Nord||1,02431;Aéroport/aérodrome||||7,41141";;02 40 89 75 00;;;www.hotel-laperouse.fr;;"Facebook||https://fr-fr.facebook.com/laperousenantes/;Instagram||https://www.instagram.com/hotelperousenantes/;Tripadvisor||https://www.tripadvisor.fr/Hotel_Review-g187198-d235788-Reviews-Hotel_La_Perouse-Nantes_Loire_Atlantique_Pays_de_la_Loire.html";;;"Climatisation;WiFi";"Clef Verte;Écolabel Européen;HôtelCert;Qualité Tourisme";;;;;oui;8€/ jour;;;46;3;2;oui;"Anglais;Espagnol;Français";non;oui;oui;||||24H24 et 7J/7||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;||http://reservation.nantes-tourisme.com/fr/hebergements/a40463/HOTPDL04440463/reserver||||||;oui;;"Cartes bancaires;Chèques Vacances;Espèces;Tickets Restaurant;Virement";47.217251,-1.556711;Loire-Atlantique
HÔTEL CAMPANILE NANTES EST SAINT SÉBASTIEN SUR LOIRE;3 étoiles;Hôtel - Restaurant;Parc d'Activité des Grésillières;;Avenue Jules Verne;;44230;SAINT-SEBASTIEN-SUR-LOIRE;;44190;47.210619;-1.48663;"Gare SNCF||Gare SNCF - accès Sud||4,25301;Gare SNCF||Gare SNCF - accès Nord||4,3471;Aéroport/aérodrome||||10,4778;Gare maritime||||6,60667";;02 40 80 75 05;;;http://www.campanile-nantes-est-saint-sebastien-sur-loire.fr/fr;;;;;"Parking privé;Restaurant;WiFi";"Club des Hôteliers;Qualité Tourisme";Campanile;;;;oui;supplément de 5 euros/animal;;;50;4;3;oui;"Anglais;Français";oui;non;oui;||||De 6h30 à 23h en semaine et de 7h à 23h le weekend. Après 23h : code d'accès nécessaire||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;||http://reservation.nantes-tourisme.com/fr/hebergements/a40477/HOTPDL04440477/reserver||||||;oui;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Tickets Restaurant";47.210619,-1.48663;Loire-Atlantique
MAISONS DU MONDE HOTEL AND SUITES;4 étoiles;Hôtel;2 bis, rue de Santeuil;;;;44000;NANTES;;44109;47.2239586;-1.5408058;"Gare SNCF||Gare SNCF - accès Sud||1,38767;Gare SNCF||Gare SNCF - accès Nord||1,38519;Aéroport/aérodrome||||6,91083;Gare maritime||||1,29906";;02 40 73 46 68;;;www.maisonsdumondehotel.com;;"Facebook||https://www.facebook.com/maisonsdumondehotel;Instagram||https://www.instagram.com/maisonsdumonde_hotel/";;;"Climatisation;WiFi";Qualité Tourisme;;;;;oui;;non;;58;6;2;oui;"Allemand;Anglais;Espagnol;Italien";non;oui;oui;||||24H/24, veilleur de nuit||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Réception||02 40 73 46 68||nantes@maisonsdumondehotel.com;||https://www.maisonsdumondehotel.com/fr/book.html||||||;oui;;"Cartes bancaires;Chèques Vacances;Espèces;Virement";47.2239586,-1.5408058;Loire-Atlantique
HÔTEL IBIS NANTES LA BEAUJOIRE;3 étoiles;Hôtel;;;5 rue du Moulin de la Halvêque;;44300;NANTES;;44109;47.253922;-1.516027;"Gare SNCF||Gare SNCF - accès Sud||4,65313;Gare SNCF||Gare SNCF - accès Nord||4,50083;Aéroport/aérodrome||||12,4733;Aéroport/aérodrome||||12,4733;Gare maritime||||6,86834";;02 40 93 22 22;;;http://www.accorhotels.com/fr/hotel-0855-ibis-nantes-la-beaujoire-parc-expo/index.shtml;;;;;WiFi;Qualité Tourisme;Ibis;;;;oui;5€;non;;81;4;3;oui;Anglais;oui;oui;oui;||||24H/24||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;||http://reservation.nantes-tourisme.com/fr/hebergements/a214861/HOTPDL044214861/reserver||||||;oui;;"Cartes bancaires;Chèques Vacances;Tickets Restaurant";47.253922,-1.516027;Loire-Atlantique
BRIT HOTEL NANTES LA BEAUJOIRE;3 étoiles;Hôtel;;;45, Boulevard des Batignolles;;44300;NANTES;;44109;47.254417;-1.527185;"Gare SNCF||Gare SNCF - accès Sud||4,41336;Gare SNCF||Gare SNCF - accès Nord||4,23759;Aéroport/aérodrome||||12,1065;Gare maritime||||6,41195";;02 40 50 07 07;;;http://www.brithotel.fr;;;;;"Parking privé;Restaurant;WiFi";Clef Verte;Brithôtel;;;;oui;8€/jour;non;;60;4;3;oui;"Anglais;Espagnol;Français";oui;oui;oui;||||24H/24, veilleur de nuit||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;||http://reservation.nantes-tourisme.com/fr/hebergements/a40503/HOTPDL04440503/reserver||||||;oui;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Tickets Restaurant";47.254417,-1.527185;Loire-Atlantique
BEST WESTERN ATLANTYS HÔTEL ZENITH NANTES;3 étoiles;Hôtel;;;8 rue des Cochardières;;44821;SAINT-HERBLAIN;;44162;47.2286035;-1.6320919;"Gare SNCF||Gare SNCF - accès Sud||6,5354;Gare SNCF||Gare SNCF - accès Nord||6,44162;Aéroport/aérodrome||||7,85742;Gare maritime||||4,63584";;02 40 63 99 63;;;www.atlantys-hotel.fr;;"Facebook||https://fr-fr.facebook.com/HotelAtlantys/;Instagram||https://www.instagram.com/bestwesternhotelatlantys/";;;"Climatisation;Parking privé;WiFi";Clef Verte;Best Western;;;;oui;Petits animaux seulement, supplément de 10€;non;;50;3;2;oui;"Anglais;Français";non;oui;oui;;;||http://reservation.nantes-tourisme.com/fr/hebergements/a40679/HOTPDL04440679/reserver||||||;oui;;"Cartes bancaires;Chèques Vacances";47.2286035,-1.6320919;Loire-Atlantique
HÔTEL AKENA;2 étoiles;Hôtel;rue d'Amsterdam;;Domaine des Thébaudières;;44980;SAINTE-LUCE-SUR-LOIRE;;44172;47.25409;-1.476942;"Gare SNCF||Gare SNCF - accès Sud||6,50005;Gare SNCF||Gare SNCF - accès Nord||6,41985;Aéroport/aérodrome||||14,2442;Gare maritime||||9,04732";;02 28 01 46 66;;;www.hotels-akena.com/hotel/hotel-akena-nantes-sainte-luce;;;;;"Parking privé;WiFi";;;;;;oui;;non;;29;4;2;oui;"Allemand;Anglais";non;;oui;"||||la semaine de 6h30 à 12H et de 14H à 21H. Le week-end de 7H30 à 12H et de 17H à 20H;||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;||http://reservation.nantes-tourisme.com/fr/hebergements/a40771/HOTPDL04440771/reserver||||||;oui;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Tickets Restaurant";47.25409,-1.476942;Loire-Atlantique
THE ORIGINALS HÔTEL AGORA NANTES OUEST;2 étoiles;Hôtel;Le Forum;;31 rue Jules Verne;;44700;ORVAULT;;44114;47.2523;-1.619467;"Gare SNCF||Gare SNCF - accès Sud||7,07862;Gare SNCF||Gare SNCF - accès Nord||6,91485;Aéroport/aérodrome||||10,5707;Gare maritime||||6,17188";;02 51 78 53 58;;;http://www.hotel-agora-nantes.com;;;;;"Parking privé;WiFi";Qualité Tourisme;The Originals Hotels;;;;oui;7,5€/ animal;non;;45;2;2;;Anglais;oui;;oui;"||||Semaine: 7h-21h;Week-end: 7h-12h30 / 17h-20h||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;||http://reservation.nantes-tourisme.com/fr/hebergements/a40509/HOTPDL04440509/reserver||||||;oui;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances";47.2523,-1.619467;Loire-Atlantique
HÔTEL-RESTAURANT LE LION D'OR;2 étoiles;Hôtel - Restaurant;;;26 rue du Pont;;49123;INGRANDES-LE FRESNE SUR LOIRE;;49160;47.404676;-0.9222725;"Gare SNCF||Ingrandes||1;Autoroute||A11||8;Aéroport/aérodrome||NANTES||75";06 71 09 15 06;02 41 87 67 21;;;http://www.leliondor49.fr;;Tripadvisor||https://www.tripadvisor.fr/Hotel_Review-g1544299-d1595016-Reviews-Le_Lion_D_or-Ingrandes_Maine_et_Loire_Pays_de_la_Loire.html;;;"Parking privé;Restaurant;WiFi";"Accueil Vélo;La Loire à vélo";;;;;oui;;non;EV6-La Loire à Vélo;10;;;oui;"Anglais;Français";;;oui;;||02 41 87 67 21||hotelrestoleliondor@gmail.com;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Tickets Restaurant";47.404676,-0.9222725;Maine-et-Loire
THE ORIGINALS ACCESS HÔTEL NANTES EST;2 étoiles;Hôtel;;;6 rue de l'Hôtellerie;;44470;CARQUEFOU;;44026;47.268572;-1.485686;"Gare SNCF||Gare SNCF - accès Sud||7,23622;Gare SNCF||Gare SNCF - accès Nord||7,11337;Aéroport/aérodrome||||15,0953;Gare maritime||||9,60957";;02 40 30 12 12;;;http://www.theoriginalshotels.com;;;;;;Clef Verte;;;;;oui;Supplément de 4€;non;;38;;;;;;;oui;"||||du lundi au jeudi de 7h à 22h;le vendredi de 7h à 21h;le samedi et dimanche de 8h à12h et de 18h à 21h||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;||http://reservation.nantes-tourisme.com/fr/hebergements/a40818/HOTPDL04440818/reserver||||||;oui;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances";47.268572,-1.485686;Loire-Atlantique
B&B HOTEL SAINT-NAZAIRE TRIGNAC;2 étoiles;Hôtel;;ZONE COMMERCIALE GRAND LARGE;rue des Aigrettes;;44570;TRIGNAC;;44210;47.2916608;-2.2096507;"Gare SNCF||||0,6;Transport en commun||Ligne Hélyce/U3/C1/T3/T4/T5 : Herbins||0,4;Route (nationale/départ.)||Nantes||50";;08 92 78 80 96;02 51 16 00 16;;https://www.hotel-bb.com/fr/hotel/saint-nazaire-la-baule;;Facebook||https://b-m.facebook.com/BBStNazaire/;;;"Climatisation;Parking privé;WiFi";;B and B;;;;oui;supplément pour animaux : 4€ par animal.;non;;70;14;3;non;"Anglais;Français";non;non;oui;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;||https://www.hotel-bb.com/fr/hotel/saint-nazaire-la-baule||||||;oui;"Chambre double||53,00||99,00||;Chambre familiale||70,00||120,00||;Petit-déjeuner / pers||8,50||||;Taxe de séjour / nuit / pers||0,90||||";"Cartes bancaires;Chèques Vacances";47.2916608,-2.2096507;Loire-Atlantique
